,algo,masscart,masspole,length,force_mag,reward_sum,success
0,ppo_random,1.029288102356395,0.11291136198234517,0.5308290128214932,10.269299097981381,148.0,0.0
1,ppo_multitask,1.029288102356395,0.11291136198234517,0.5308290128214932,10.269299097981381,200.0,1.0
2,diffdac,1.029288102356395,0.11291136198234517,0.5308290128214932,10.269299097981381,200.0,1.0
3,ppo_random,0.9502132028215444,0.11321946960652948,0.35003431244520344,8.813995435791039,142.0,0.0
4,ppo_multitask,0.9502132028215444,0.11321946960652948,0.35003431244520344,8.813995435791039,200.0,1.0
5,diffdac,0.9502132028215444,0.11321946960652948,0.35003431244520344,8.813995435791039,200.0,1.0
6,ppo_random,0.9615969412852022,0.07155557390967347,0.5148987433636127,9.61193435570966,130.0,0.0
7,ppo_multitask,0.9615969412852022,0.07155557390967347,0.5148987433636127,9.61193435570966,200.0,1.0
8,diffdac,0.9615969412852022,0.07155557390967347,0.5148987433636127,9.61193435570966,200.0,1.0
9,ppo_random,1.0304787415447452,0.1124888693570863,0.4372714216738833,10.064965631185977,143.0,0.0
10,ppo_multitask,1.0304787415447452,0.1124888693570863,0.4372714216738833,10.064965631185977,200.0,1.0
11,diffdac,1.0304787415447452,0.1124888693570863,0.4372714216738833,10.064965631185977,200.0,1.0
12,ppo_random,1.280217903408206,0.10283393495054334,0.6418053079894653,11.288895962046187,149.0,0.0
13,ppo_multitask,1.280217903408206,0.10283393495054334,0.6418053079894653,11.288895962046187,200.0,1.0
14,diffdac,1.280217903408206,0.10283393495054334,0.6418053079894653,11.288895962046187,200.0,1.0
15,ppo_random,0.8331959026538437,0.1222439383706426,0.41201574660182794,12.511665447627529,154.0,0.0
16,ppo_multitask,0.8331959026538437,0.1222439383706426,0.41201574660182794,12.511665447627529,200.0,1.0
17,diffdac,0.8331959026538437,0.1222439383706426,0.41201574660182794,12.511665447627529,200.0,1.0
18,ppo_random,1.235716090861601,0.08991878831807062,0.5963687369173496,7.2501797543515,134.0,0.0
19,ppo_multitask,1.235716090861601,0.08991878831807062,0.5963687369173496,7.2501797543515,200.0,1.0
20,diffdac,1.235716090861601,0.08991878831807062,0.5963687369173496,7.2501797543515,200.0,1.0
21,ppo_random,0.7457849736243742,0.11679512753440688,0.481522769432268,11.340791066985648,143.0,0.0
22,ppo_multitask,0.7457849736243742,0.11679512753440688,0.481522769432268,11.340791066985648,200.0,1.0
23,diffdac,0.7457849736243742,0.11679512753440688,0.481522769432268,11.340791066985648,200.0,1.0
24,ppo_random,1.2240576416750897,0.12811243976925593,0.610758362064176,10.185134149333594,135.0,0.0
25,ppo_multitask,1.2240576416750897,0.12811243976925593,0.610758362064176,10.185134149333594,200.0,1.0
